benchmark,onnx_path,vnnlib_path,total_time,result,solver_time
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_0_eps_0.00784_n1.vnnlib,6.733640372,SAT,6.646122508
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_1_eps_0.00784_n1.vnnlib,14.718357504,UNSAT,14.609763695
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_2_eps_0.00784_n1.vnnlib,30.070078607,UNSAT,41.810964035
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_3_eps_0.00784_n1.vnnlib,14.656226972,UNSAT,14.570861063
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_4_eps_0.00784_n1.vnnlib,30.074108308,UNSAT,57.078539283
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_5_eps_0.00784_n1.vnnlib,17.382064519,UNSAT,17.26219795
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_6_eps_0.00784_n1.vnnlib,14.686245349,UNSAT,14.753664894
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_8_eps_0.00784_n1.vnnlib,30.075249982,timeout,333.240334805
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_9_eps_0.00784_n1.vnnlib,30.076733755,UNSAT,42.24103922
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_10_eps_0.00784_n1.vnnlib,14.881083265,UNSAT,14.83893361
cifar2020,./benchmarks/cifar2020/nets/cifar10_2_255_simplified.onnx,./benchmarks/cifar2020/specs/cifar10/cifar10_spec_idx_11_eps_0.00784_n1.vnnlib,14.864783793,UNSAT,14.778969583
